# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  1.02593001819009e+01  -6.68095139202858e-02   3.48002742082961e-01   1.23547926216846e-01   1.21976598050754e-01  -3.00359649921835e-01
  1.03138703956344e+01  -6.52749610689688e-02   3.47856423483616e-01   1.21013580067314e-01   1.19931711750213e-01  -3.01747435397939e-01
  1.03684406093679e+01  -6.37721012908106e-02   3.47654053219995e-01   1.18436264081293e-01   1.17914626542324e-01  -3.03079141009379e-01
  1.04230108231014e+01  -6.23004039044361e-02   3.47396709072488e-01   1.15817249455597e-01   1.15925161087084e-01  -3.04355254977931e-01
  1.04775810368349e+01  -6.08593423511394e-02   3.47085465255134e-01   1.13157802820923e-01   1.13963128203466e-01  -3.05576275266593e-01
  1.05321512505684e+01  -5.94483943841805e-02   3.46721391954593e-01   1.10459185732375e-01   1.12028335191280e-01  -3.06742709095929e-01
  1.05867214643020e+01  -5.80670422448684e-02   3.46305554888372e-01   1.07722654177942e-01   1.10120584143306e-01  -3.07855072470706e-01
  1.06412916780355e+01  -5.67147728259747e-02   3.45839014881831e-01   1.04949458104641e-01   1.08239672247941e-01  -3.08913889716755e-01
  1.06958618917690e+01  -5.53910778229990e-02   3.45322827463507e-01   1.02140840961967e-01   1.06385392082514e-01  -3.09919693027973e-01
  1.07504321055025e+01  -5.40954538737983e-02   3.44758042478299e-01   9.92980392623639e-02   1.04557531897493e-01  -3.10873022023378e-01
  1.08050023192360e+01  -5.28274026870680e-02   3.44145703718056e-01   9.64222821583656e-02   1.02755875891754e-01  -3.11774423314123e-01
