# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p  R_3d
  9.45158278642415E-01   3.08929584947267E-02   9.99678794703793E-03   5.24414713815092E-03   1.24843481797870E-01   7.29146619311455E-02   5.76683540149922E-03
  9.52658741171323E-01   2.78490167682008E-02   8.43468440722376E-03   4.26346432961101E-03   1.26231137598338E-01   7.37062863434873E-02   5.88745273933942E-03
  9.60159203700231E-01   2.48021969781098E-02   6.87160631350061E-03   3.28227322750957E-03   1.27620420418592E-01   7.44982788032389E-02   6.00953658661687E-03
  9.67659666229139E-01   2.17528425868873E-02   5.30774218636264E-03   2.30069459350944E-03   1.29011254672685E-01   7.52905886888968E-02   6.13309029209791E-03
  9.75160128758047E-01   1.87012897717396E-02   3.74327690568986E-03   1.31884691791859E-03   1.30403565278549E-01   7.60831656913270E-02   6.25811710940975E-03
  9.82660591286955E-01   1.56478676136504E-02   2.17839180168209E-03   3.36846475667290E-04   1.31797277657991E-01   7.68759598142208E-02   6.38462019757661E-03
  9.90161053815864E-01   1.25928982796344E-02   6.13264742506235E-04  -6.45192619747190E-04   1.33192317736766E-01   7.76689213745938E-02   6.51260262156239E-03
  9.97661516344772E-01   9.53669719851800E-03  -9.51929781206030E-04  -1.62715836426302E-03   1.34588611944727E-01   7.84620010033214E-02   6.64206735281970E-03
  1.00516197887368E+00   6.47957323051604E-03  -2.51702057487855E-03  -2.60894081312190E-03   1.35986087216031E-01   7.92551496457044E-02   6.77301726984486E-03
  1.01266244140259E+00   3.42182883085889E-03  -4.08183966140323E-03  -3.59043203252467E-03   1.37384670989405E-01   8.00483185620588E-02   6.90545515873863E-03
  1.02016290393150E+00   3.63760207715641E-04  -5.64622220532437E-03  -4.57152605299986E-03   1.38784291208446E-01   8.08414593283246E-02   7.03938371377235E-03
  1.02766336646040E+00  -2.69434252535268E-03  -7.21000643967970E-03  -5.55211882441366E-03   1.40184876321962E-01   8.16345238366874E-02   7.17480553795917E-03
  1.03516382898931E+00  -5.75219520218541E-03  -8.77303359538780E-03  -6.53210817255291E-03   1.41586355284330E-01   8.24274642962089E-02   7.31172314363016E-03
  1.04266429151822E+00  -8.80951946184559E-03  -1.03351478330764E-02  -7.51139375721571E-03   1.42988657555877E-01   8.32202332334615E-02   7.45013895301495E-03
  1.05016475404713E+00  -1.18660426112687E-02  -1.18961961772505E-02  -8.48987703174699E-03   1.44391713103272E-01   8.40127834931623E-02   7.59005529882667E-03
  1.05766521657604E+00  -1.49214974925404E-02  -1.34560284527044E-02  -9.46746120395923E-03   1.45795452399917E-01   8.48050682388038E-02   7.73147442485085E-03
  1.06516567910494E+00  -1.79756223546148E-02  -1.50144972230838E-02  -1.04440511983808E-02   1.47199806426338E-01   8.55970409532767E-02   7.87439848653814E-03
  1.07266614163385E+00  -2.10281607292933E-02  -1.65714577315109E-02  -1.14195536197774E-02   1.48604706670572E-01   8.63886554394813E-02   8.01882955160039E-03
  1.08016660416276E+00  -2.40788613112916E-02  -1.81267678431874E-02  -1.23938767178935E-02   1.50010085128531E-01   8.71798658209262E-02   8.16476960061010E-03
  1.08766706669167E+00  -2.71274778422303E-02  -1.96802879898938E-02  -1.33669303533645E-02   1.51415874304359E-01   8.79706265423088E-02   8.31222052760268E-03
  1.09516752922058E+00  -3.01737689983894E-02  -2.12318811163086E-02  -1.43386259647506E-02   1.52822007210756E-01   8.87608923700776E-02   8.46118414068161E-03
  1.10266799174948E+00  -3.32174982820787E-02  -2.27814126280720E-02  -1.53088765366468E-02   1.54228417369286E-01   8.95506183929722E-02   8.61166216262589E-03
  1.11016845427839E+00  -3.62584339164754E-02  -2.43287503415242E-02  -1.62775965688252E-02   1.55635038810645E-01   9.03397600225401E-02   8.76365623149995E-03
  1.11766891680730E+00  -3.92963487437947E-02  -2.58737644350499E-02  -1.72447020463674E-02   1.57041806074901E-01   9.11282729936267E-02   8.91716790126540E-03
  1.12516937933621E+00  -4.23310201266567E-02  -2.74163274019636E-02  -1.82101104107461E-02   1.58448654211695E-01   9.19161133648392E-02   9.07219864239469E-03
  1.13266984186512E+00  -4.53622298525258E-02  -2.89563140048744E-02  -1.91737405318189E-02   1.59855518780404E-01   9.27032375189800E-02   9.22874984248635E-03
  1.14017030439402E+00  -4.83897640410993E-02  -3.04936012314703E-02  -2.01355126806950E-02   1.61262335850263E-01   9.34896021634507E-02   9.38682280688155E-03
  1.14767076692293E+00  -5.14134130545303E-02  -3.20280682516643E-02  -2.10953485034422E-02   1.62669042000437E-01   9.42751643306231E-02   9.54641875928190E-03
  1.15517122945184E+00  -5.44329714103716E-02  -3.35595963760497E-02  -2.20531709955988E-02   1.64075574320053E-01   9.50598813781789E-02   9.70753884236814E-03
  1.16267169198075E+00  -5.74482376971367E-02  -3.50880690156103E-02  -2.30089044774574E-02   1.65481870408182E-01   9.58437109894137E-02   9.87018411841968E-03
  1.17017215450966E+00  -6.04590144923727E-02  -3.66133716426371E-02  -2.39624745700925E-02   1.66887868373772E-01   9.66266111735074E-02   1.00343555699347E-02
  1.17767261703856E+00  -6.34651082831508E-02  -3.81353917528028E-02  -2.49138081720988E-02   1.68293506835525E-01   9.74085402657587E-02   1.02000541002506E-02
  1.18517307956747E+00  -6.64663293888780E-02  -3.96540188283490E-02  -2.58628334370145E-02   1.69698724921733E-01   9.81894569277835E-02   1.03672805341649E-02
  1.19267354209638E+00  -6.94624918863422E-02  -4.11691443023419E-02  -2.68094797514015E-02   1.71103462270048E-01   9.89693201476767E-02   1.05360356185559E-02
  1.20017400462529E+00  -7.24534135369039E-02  -4.26806615239551E-02  -2.77536777135563E-02   1.72507659027209E-01   9.97480892401364E-02   1.07063200230034E-02
  1.20767446715420E+00  -7.54389157157535E-02  -4.41884657247385E-02  -2.86953591128278E-02   1.73911255848708E-01   1.00525723846552E-01   1.08781343404091E-02
  1.21517492968311E+00  -7.84188233431546E-02  -4.56924539858362E-02  -2.96344569095162E-02   1.75314193898403E-01   1.01302183935052E-01   1.10514790876169E-02
  1.22267539221201E+00  -8.13929648175985E-02  -4.71925252061157E-02  -3.05709052153337E-02   1.76716414848077E-01   1.02077429800519E-01   1.12263547060319E-02
  1.23017585474092E+00  -8.43611719507976E-02  -4.86885800711734E-02  -3.15046392744012E-02   1.78117860876942E-01   1.02851422064559E-01   1.14027615622395E-02
  1.23767631726983E+00  -8.73232799044490E-02  -5.01805210231832E-02  -3.24355954447632E-02   1.79518474671079E-01   1.03624121675441E-01   1.15806999486233E-02
  1.24517677979874E+00  -9.02791271287017E-02  -5.16682522315554E-02  -3.33637111804003E-02   1.80918199422839E-01   1.04395489907995E-01   1.17601700839817E-02
  1.25267724232765E+00  -9.32285553022646E-02  -5.31516795643758E-02  -3.42889250137185E-02   1.82316978830171E-01   1.05165488363470E-01   1.19411721141442E-02
  1.26017770485655E+00  -9.61714092740940E-02  -5.46307105605944E-02  -3.52111765385000E-02   1.83714757095906E-01   1.05934078969358E-01   1.21237061125855E-02
  1.26767816738546E+00  -9.91075370066029E-02  -5.61052544029363E-02  -3.61304063932952E-02   1.85111478926979E-01   1.06701223979180E-01   1.23077720810391E-02
  1.27517862991437E+00  -1.02036789520337E-01  -5.75752218915082E-02  -3.70465562452413E-02   1.86507089533604E-01   1.07466885972233E-01   1.24933699501090E-02
  1.28267909244328E+00  -1.04959020840062E-01  -5.90405254180726E-02  -3.79595687742898E-02   1.87901534628389E-01   1.08231027853303E-01   1.26804995798796E-02
  1.29017955497219E+00  -1.07874087942214E-01  -6.05010789409672E-02  -3.88693876578290E-02   1.89294760425395E-01   1.08993612852339E-01   1.28691607605248E-02
  1.29768001750109E+00  -1.10781850703664E-01  -6.19567979606446E-02  -3.97759575556861E-02   1.90686713639152E-01   1.09754604524095E-01   1.30593532129141E-02
