# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  1.02593001819009E+01  -6.68095139202858E-02   3.48002742082961E-01   1.23547926216846E-01   1.21976598050754E-01  -3.00359649921835E-01
  1.03138703956344E+01  -6.52749610689688E-02   3.47856423483616E-01   1.21013580067314E-01   1.19931711750213E-01  -3.01747435397939E-01
  1.03684406093679E+01  -6.37721012908106E-02   3.47654053219995E-01   1.18436264081293E-01   1.17914626542324E-01  -3.03079141009379E-01
  1.04230108231014E+01  -6.23004039044361E-02   3.47396709072488E-01   1.15817249455597E-01   1.15925161087084E-01  -3.04355254977931E-01
  1.04775810368349E+01  -6.08593423511394E-02   3.47085465255134E-01   1.13157802820923E-01   1.13963128203466E-01  -3.05576275266593E-01
  1.05321512505684E+01  -5.94483943841805E-02   3.46721391954593E-01   1.10459185732375E-01   1.12028335191280E-01  -3.06742709095929E-01
  1.05867214643020E+01  -5.80670422448684E-02   3.46305554888372E-01   1.07722654177942E-01   1.10120584143306E-01  -3.07855072470706E-01
  1.06412916780355E+01  -5.67147728259747E-02   3.45839014881831E-01   1.04949458104641E-01   1.08239672247941E-01  -3.08913889716755E-01
  1.06958618917690E+01  -5.53910778229990E-02   3.45322827463507E-01   1.02140840961967E-01   1.06385392082514E-01  -3.09919693027973E-01
  1.07504321055025E+01  -5.40954538737983E-02   3.44758042478299E-01   9.92980392623639E-02   1.04557531897493E-01  -3.10873022023378E-01
  1.08050023192360E+01  -5.28274026870680E-02   3.44145703718056E-01   9.64222821583656E-02   1.02755875891754E-01  -3.11774423314123E-01
